epoch	loss	mean_squared_error	val_loss	val_mean_squared_error
0	0.9943060532283949	0.060759217354686076	0.6330229090500188	0.04226689208670087
1	0.561201583528875	0.03329366153855994	0.6275706233266604	0.03945603737650775
2	0.5564865337104926	0.031218521394981845	0.6290944645248714	0.040059630523105134
3	0.5530420001788788	0.029840324954539216	0.6226457972359783	0.03733603810212049
4	0.5497996546507297	0.028605411260670316	0.6305972512003948	0.04010901795552484
5	0.5482803968876091	0.02786217630348054	0.6229042574466366	0.037530119397161256
6	0.5464526852220069	0.027168236608050816	0.6352968460275371	0.042031571553848096
7	0.5447952142634525	0.0264666481859725	0.6169405057450629	0.03541780871139546
8	0.5433654187218366	0.025891020642176892	0.620398759841919	0.03668971670145376
9	0.5417286527170253	0.025314520927803313	0.6343058834186459	0.0412440043156372
10	0.5405413769677468	0.02473737361428773	0.6299071519682202	0.03989498639625473
11	0.5387568665278069	0.024050173818628843	0.6181984806555274	0.035885191491860695
12	0.5380455165085571	0.023806705590414163	0.6233418558903369	0.037236075252961125
