epoch	loss	mean_squared_error	val_loss	val_mean_squared_error
0	0.5765008729255142	0.04006332993409763	0.637744817029853	0.04288670015545966
1	0.5595758458110763	0.032652993629963864	0.6266564385781399	0.03951245945381798
2	0.554795365748941	0.03068865817667506	0.6237434993530978	0.038098068714699354
3	0.5522744746276038	0.029536810369618912	0.6471138665859366	0.045823567779071935
4	0.5497132525410839	0.02857193139626049	0.6265990984493176	0.039328967279028536
5	0.5486191652828845	0.028043670490367323	0.613547766194105	0.034394570299465514
6	0.5463370519426807	0.027230481924606403	0.6295507724520732	0.03936105999139665
7	0.5451183886095547	0.026667520677662638	0.6197643079084805	0.03647746291919034
8	0.5441723800276597	0.026233352928375964	0.63418242198367	0.041227323979127206
9	0.5418679661913823	0.02531063473787342	0.6307593500919583	0.039569597286802816
10	0.5410858727072556	0.02500309344323512	0.6274836872010854	0.03867235805213621
